# list of object assets to load in this scene
[ASSETS]
mario.txt
hud.txt
goalroulette.txt
overworldobject.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Question Block, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#BACKGROUND
17	310	268	1
17	310	108	1
17	310	-52	1
17	240	268	1
17	240	108	1
17	240	-52	1
17	170	268	1
17	170	108	1
17	170	-52	1
17	100	268	1
17	100	108	1
17	100	-52	1
17	30	268	1
17	30	108	1
17	30	-52	1

30	18	50	23000
30	41	50	23000
30	64	50	23000
30	87	50	23000
30	110	50	23000
30	133	50	23000
30	156	50	23000
30	179	50	23000
30	202	50	23000
30	225	50	23000
30	248	50	23000
30	271	50	23000
30	294	50	23000
30	317	50	23000

30	18	72	23000
30	41	72	23000
30	64	72	23000
30	87	72	23000
30	110	72	23000
30	133	72	23000
30	156	72	23000
30	179	72	23000
30	202	72	23000
30	225	72	23000
30	248	72	23000
30	271	72	23000
30	294	72	23000
30	317	72	23000

30	18	94	23000
30	41	94	23000
30	64	94	23000
30	87	94	23000
30	110	94	23000
30	133	94	23000
30	156	94	23000
30	179	94	23000
30	202	94	23000
30	225	94	23000
30	248	94	23000
30	271	94	23000
30	294	94	23000
30	317	94	23000

30	18	116	23000
30	41	116	23000
30	64	116	23000
30	87	116	23000
30	110	116	23000
30	133	116	23000
30	156	116	23000
30	179	116	23000
30	202	116	23000
30	225	116	23000
30	248	116	23000
30	271	116	23000
30	294	116	23000
30	317	116	23000

30	18	138	23000
30	41	138	23000
30	64	138	23000
30	87	138	23000
30	110	138	23000
30	133	138	23000
30	156	138	23000
30	179	138	23000
30	202	138	23000
30	225	138	23000
30	248	138	23000
30	271	138	23000
30	294	138	23000
30	317	138	23000

30	18	160	23000
30	41	160	23000
30	64	160	23000
30	87	160	23000
30	110	160	23000
30	133	160	23000
30	156	160	23000
30	179	160	23000
30	202	160	23000
30	225	160	23000
30	248	160	23000
30	271	160	23000
