# list of object assets to load in this scene
[ASSETS]
mario.txt
questionblock.txt
brick.txt
coin.txt
goomba.txt
platform.txt
grass.txt
cloud-background.txt
colorbox.txt
pipe.txt
piranhaplant.txt
bullet.txt
mushroom.txt
leaf.txt
koopas.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Question Block, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#GRASS_BACKGROUND
6	15	304	63000
6	15	288	63000
6	15	272	61000

6	31	304	65000
6	31	288	66000
6	31	272	67000
6	31	256	61000

6	47	304	65000
6	47	288	67000
6	47	272	64000
6	47	256	62000

6	63	304	65000
6	63	288	65000
6	63	272	61000

6	79	304	66000
6	79	288	64000
6	79	272	62000

6	95	304	67000
6	95	288	63000
6	95	272	61000

6	111	304	65000
6	111	288	66000
6	111	272	62000

6	127	304	64000
6	127	288	62000

6	161	304	68000
6	177	304	68000
6	193	304	68000

6	677	288	68000
6	693	288	68000
6	709	288	68000
6	725	288	68000
6	741	288	68000
6	757	288	68000

6	822	288	61000

6	838	288	67000
6	838	272	63000
6	838	256	61000

6	854	288	65000
6	854	272	66000
6	854	256	62000

6	870	288	65000
6	870	272	67000
6	870	256	61000

6	886	288	65000
6	886	272	66000
6	886	256	67000
6	886	240	61000

6	902	288	65000
6	902	272	67000
6	902	256	64000
6	902	240	62000

6	918	288	65000
6	918	272	65000
6	918	256	61000

6	934	288	64000
6	934	272	64000
6	934	256	62000

6	950	288	61000

6	966	288	67000
6	966	272	63000
6	966	256	61000

6	982	288	65000
6	982	272	66000
6	982	256	62000

6	998	288	64000
6	998	272	62000

6	1046	288	68000
6	1062	288	68000

6	1190	304	68000
6	1206	304	68000
6	1222	304	68000

6	1734	304	68000
6	1750	304	68000
6	1766	304	68000

6	1894	304	61000
6	1910	304	67000
6	1910	288	63000
6	1910	272	61000
6	1926	304	65000
6	1926	288	66000
6	1926	272	62000
6	1942	304	64000
6	1942	288	62000

6	2374	304	63000
6	2374	288	63000
6	2374	272	63000
6	2374	256	61000
6	2390	304	65000
6	2390	288	65000
6	2390	272	65000
6	2390	256	67000
6	2390	240	61000
6	2406	304	65000
6	2406	288	65000
6	2406	272	65000
6	2406	256	65000
6	2406	240	67000
6	2406	224	63000
6	2406	208	63000
6	2406	192	61000
6	2422	304	65000
6	2422	288	65000
6	2422	272	65000
6	2422	256	65000
6	2422	240	65000
6	2422	224	65000
6	2422	208	66000
6	2422	192	62000
6	2438	304	65000
6	2438	288	66000
6	2438	272	64000
6	2438	256	64000
6	2438	240	64000
6	2438	224	64000
6	2438	208	62000
6	2454	304	64000
6	2454	288	62000

#CLOUD BACKGROUND
7 	121	167	16	15	4	71000	72000	73000	74000	75000	76000
7 	323	151	16	15	3	71000	72000	73000	74000	75000	76000

7 	645	177	16	15	3	71000	72000	73000	74000	75000	76000

7 	728	209	16	15	5	71000	72000	73000	74000	75000	76000

7 	1176	177	16	15	3	71000	72000	73000	74000	75000	76000

7 	1656	177	16	15	5	71000	72000	73000	74000	75000	76000

7 	2326	193	16	15	3	71000	72000	73000	74000	75000	76000

#COLOR BOX BLUE
8 	275	240	16	16	3	5	80011	80012	80013	80014	80015	80016	80017	80018	80019
8 	1334	224	16	16	7	6	80011	80012	80013	80014	80015	80016	80017	80018	80019

#COLOR BOX WHITE
8 	517	208	16	16	4	7	80031	80032	80033	80034	80035	80036	80037	80038	80039

#COLOR BOX GREEN
8 	2182	176	16	16	3	9	80021	80022	80023	80024	80025	80026	80027	80028	80029

#COLOR BOX PINK
8 	243	272	16	16	3	3	80001	80002	80003	80004	80005	80006	80007	80008	80009
8 	469	240	16	16	4	5	80001	80002	80003	80004	80005	80006	80007	80008	80009
8 	1302	256	16	16	7	4	80001	80002	80003	80004	80005	80006	80007	80008	80009
8 	2150	272	16	16	3	3	80001	80002	80003	80004	80005	80006	80007	80008	80009

#COLOR BOX GREEN
8 	405	272	16	16	5	3	80021	80022	80023	80024	80025	80026	80027	80028	80029
8 	517	288	16	16	6	2	80021	80022	80023	80024	80025	80026	80027	80028	80029
8 	1270	288	16	16	7	2	80021	80022	80023	80024	80025	80026	80027	80028	80029

#INVINSIBLE BLOCK
15	5	240	1	7	0

15	501	272	1	1	1
15	613	272	1	1	1

15	708	240	1	4	2

# MARIO
0	28	297

#KOOPAS
3	597	260

# GOOMBA
2	243	304	0	1

2	517	304	0	1

#COIN
4	1078	224	1
4	1110	192	1
4	1142	160	1
4	1174	128	1
4	1206	96	1

#QUESTION BLOCK
1	177	256	0
1	192.9	256	0

1	227	205	0
1	242.9	205	1

